Trader Amount Price Date Ticker
Edward 1750 7220 2024-01-25T19:15:12Z AAPL
Bob 2590 8590 2024-06-08T19:15:12Z MSFT
Alice 5990 6350 2023-08-09T19:15:12Z AMZN
Alice 6590 6160 2023-09-22T19:15:12Z TSLA
Alice 1880 14270 2024-03-15T19:15:12Z AAPL
Edward 7900 3270 2023-07-24T19:15:12Z AAPL
Charlie 3760 6010 2024-05-13T19:15:12Z AAPL
Charlie 1660 12510 2023-07-27T19:15:12Z GOOGL
Edward 7580 10710 2024-06-02T19:15:12Z GOOGL
Alice 710 2240 2024-06-06T19:15:12Z AMZN
Diana 7850 12260 2023-06-28T19:15:12Z AMZN
Diana 3420 12130 2024-02-20T19:15:12Z AMZN
Diana 5450 4810 2023-08-06T19:15:12Z AAPL
Diana 1930 11020 2023-09-27T19:15:12Z GOOGL
Charlie 3780 4540 2023-09-25T19:15:12Z TSLA
Bob 3890 13890 2023-12-03T19:15:12Z MSFT
Alice 290 9790 2024-05-13T19:15:12Z AAPL
Bob 7240 10070 2024-02-24T19:15:12Z TSLA
Charlie 5140 14470 2024-02-27T19:15:12Z TSLA
Alice 2930 13560 2024-04-15T19:15:12Z MSFT
Alice 8430 8520 2024-05-19T19:15:12Z TSLA
Bob 7570 6760 2024-05-23T19:15:12Z GOOGL
Alice 7790 11720 2023-11-03T19:15:12Z AAPL
Charlie 4840 13730 2024-02-29T19:15:12Z AMZN
Bob 1050 13500 2023-10-28T19:15:12Z MSFT
Charlie 6140 12200 2024-01-31T19:15:12Z TSLA
Bob 1140 12120 2023-10-20T19:15:12Z AMZN
Edward 6960 5410 2024-01-27T19:15:12Z MSFT
Diana 8890 8540 2023-12-14T19:15:12Z AAPL
Alice 8880 5600 2023-10-20T19:15:12Z GOOGL
Charlie 4490 8260 2024-02-27T19:15:12Z AMZN
Bob 5060 5720 2023-08-03T19:15:12Z AAPL
Bob 7010 2230 2024-05-03T19:15:12Z MSFT
Diana 4490 4900 2024-02-07T19:15:12Z TSLA
Diana 7060 4810 2024-03-23T19:15:12Z AAPL
Bob 9460 1260 2024-05-25T19:15:12Z AMZN
Bob 9620 1610 2023-10-12T19:15:12Z AMZN
Bob 8270 14670 2024-03-20T19:15:12Z AAPL
Charlie 5270 3010 2024-02-06T19:15:12Z GOOGL
Diana 5110 13930 2023-07-29T19:15:12Z MSFT
Edward 7980 12200 2023-09-05T19:15:12Z AMZN
Alice 2000 6130 2024-04-03T19:15:12Z MSFT
Bob 100 5930 2024-02-06T19:15:12Z GOOGL
Charlie 3750 3510 2024-01-14T19:15:12Z TSLA
Bob 1100 6690 2024-01-29T19:15:12Z AMZN
Bob 3640 8660 2024-01-03T19:15:12Z TSLA
Edward 1600 11190 2024-02-15T19:15:12Z GOOGL
Alice 1510 11810 2024-01-13T19:15:12Z GOOGL
Edward 3130 1060 2024-05-16T19:15:12Z GOOGL
Bob 2720 3190 2023-08-27T19:15:12Z TSLA
